,keyword,date,trend_index
404,nacionalismo,2019-10-06,23
405,nacionalismo,2019-10-13,100
406,nacionalismo,2019-10-20,74
407,nacionalismo,2019-10-27,55
408,nacionalismo,2019-11-03,58
409,nacionalismo,2019-11-10,73
410,nacionalismo,2019-11-17,42
411,nacionalismo,2019-11-24,53
412,nacionalismo,2019-12-01,48
413,nacionalismo,2019-12-08,41
414,nacionalismo,2019-12-15,27
415,nacionalismo,2019-12-22,16
416,nacionalismo,2019-12-29,17
417,nacionalismo,2020-01-05,28
418,nacionalismo,2020-01-12,34
419,nacionalismo,2020-01-19,28
420,nacionalismo,2020-01-26,32
421,nacionalismo,2020-02-02,40
422,nacionalismo,2020-02-09,32
423,nacionalismo,2020-02-16,27
424,nacionalismo,2020-02-23,28
425,nacionalismo,2020-03-01,29
426,nacionalismo,2020-03-08,22
427,nacionalismo,2020-03-15,37
428,nacionalismo,2020-03-22,40
429,nacionalismo,2020-03-29,35
430,nacionalismo,2020-04-05,29
431,nacionalismo,2020-04-12,36
432,nacionalismo,2020-04-19,37
433,nacionalismo,2020-04-26,46
434,nacionalismo,2020-05-03,50
435,nacionalismo,2020-05-10,50
436,nacionalismo,2020-05-17,56
437,nacionalismo,2020-05-24,49
438,corrupcion,2019-01-06,26
439,corrupcion,2019-01-13,36
440,corrupcion,2019-01-20,28
441,corrupcion,2019-01-27,32
442,corrupcion,2019-02-03,32
443,corrupcion,2019-02-10,47
444,corrupcion,2019-02-17,52
445,corrupcion,2019-02-24,38
446,corrupcion,2019-03-03,31
447,corrupcion,2019-03-10,31
448,corrupcion,2019-03-17,36
449,corrupcion,2019-03-24,29
450,corrupcion,2019-03-31,34
451,corrupcion,2019-04-07,44
452,corrupcion,2019-04-14,34
453,corrupcion,2019-04-21,67
454,corrupcion,2019-04-28,61
455,corrupcion,2019-05-05,39
456,corrupcion,2019-05-12,45
457,corrupcion,2019-05-19,51
458,corrupcion,2019-05-26,42
459,corrupcion,2019-06-02,34
460,corrupcion,2019-06-09,29
461,corrupcion,2019-06-16,30
462,corrupcion,2019-06-23,24
463,corrupcion,2019-06-30,29
464,corrupcion,2019-07-07,28
465,corrupcion,2019-07-14,23
466,corrupcion,2019-07-21,44
467,corrupcion,2019-07-28,25
468,corrupcion,2019-08-04,21
469,corrupcion,2019-08-11,50
470,corrupcion,2019-08-18,33
471,corrupcion,2019-08-25,20
472,corrupcion,2019-09-01,32
473,corrupcion,2019-09-08,20
474,corrupcion,2019-09-15,24
475,corrupcion,2019-09-22,28
476,corrupcion,2019-09-29,26
477,corrupcion,2019-10-06,34
478,corrupcion,2019-10-13,32
479,corrupcion,2019-10-20,39
480,corrupcion,2019-10-27,27
481,corrupcion,2019-11-03,54
482,corrupcion,2019-11-10,65
483,corrupcion,2019-11-17,100
484,corrupcion,2019-11-24,29
485,corrupcion,2019-12-01,35
486,corrupcion,2019-12-08,30
487,corrupcion,2019-12-15,45
488,corrupcion,2019-12-22,25
489,corrupcion,2019-12-29,36
490,corrupcion,2020-01-05,31
491,corrupcion,2020-01-12,47
492,corrupcion,2020-01-19,35
493,corrupcion,2020-01-26,27
494,corrupcion,2020-02-02,21
495,corrupcion,2020-02-09,25
496,corrupcion,2020-02-16,28
497,corrupcion,2020-02-23,26
498,corrupcion,2020-03-01,32
499,corrupcion,2020-03-08,28
500,corrupcion,2020-03-15,57
501,corrupcion,2020-03-22,44
502,corrupcion,2020-03-29,40
503,corrupcion,2020-04-05,40
504,corrupcion,2020-04-12,38
505,corrupcion,2020-04-19,40
506,corrupcion,2020-04-26,51
507,corrupcion,2020-05-03,46
508,corrupcion,2020-05-10,48
509,corrupcion,2020-05-17,50
510,corrupcion,2020-05-24,33
511,estado de alarma,2019-01-06,0
512,estado de alarma,2019-01-13,0
513,estado de alarma,2019-01-20,0
514,estado de alarma,2019-01-27,0
515,estado de alarma,2019-02-03,0
516,estado de alarma,2019-02-10,0
517,estado de alarma,2019-02-17,0
518,estado de alarma,2019-02-24,0
519,estado de alarma,2019-03-03,0
520,estado de alarma,2019-03-10,0
521,estado de alarma,2019-03-17,0
522,estado de alarma,2019-03-24,0
523,estado de alarma,2019-03-31,0
524,estado de alarma,2019-04-07,0
525,estado de alarma,2019-04-14,0
526,estado de alarma,2019-04-21,0
527,estado de alarma,2019-04-28,0
528,estado de alarma,2019-05-05,0
529,estado de alarma,2019-05-12,0
530,estado de alarma,2019-05-19,0
531,estado de alarma,2019-05-26,0
532,estado de alarma,2019-06-02,0
533,estado de alarma,2019-06-09,0
534,estado de alarma,2019-06-16,0
535,estado de alarma,2019-06-23,0
536,estado de alarma,2019-06-30,0
537,estado de alarma,2019-07-07,0
538,estado de alarma,2019-07-14,0
539,estado de alarma,2019-07-21,0
540,estado de alarma,2019-07-28,0
541,estado de alarma,2019-08-04,0
542,estado de alarma,2019-08-11,0
543,estado de alarma,2019-08-18,0
544,estado de alarma,2019-08-25,0
545,estado de alarma,2019-09-01,0
546,estado de alarma,2019-09-08,0
547,estado de alarma,2019-09-15,0
548,estado de alarma,2019-09-22,0
549,estado de alarma,2019-09-29,0
550,estado de alarma,2019-10-06,0
551,estado de alarma,2019-10-13,1
552,estado de alarma,2019-10-20,0
553,estado de alarma,2019-10-27,0
554,estado de alarma,2019-11-03,0
555,estado de alarma,2019-11-10,0
556,estado de alarma,2019-11-17,0
557,estado de alarma,2019-11-24,0
558,estado de alarma,2019-12-01,0
559,estado de alarma,2019-12-08,0
560,estado de alarma,2019-12-15,0
561,estado de alarma,2019-12-22,0
562,estado de alarma,2019-12-29,0
563,estado de alarma,2020-01-05,0
564,estado de alarma,2020-01-12,0
565,estado de alarma,2020-01-19,0
566,estado de alarma,2020-01-26,0
567,estado de alarma,2020-02-02,0
568,estado de alarma,2020-02-09,0
569,estado de alarma,2020-02-16,0
570,estado de alarma,2020-02-23,0
571,estado de alarma,2020-03-01,0
572,estado de alarma,2020-03-08,100
573,estado de alarma,2020-03-15,82
574,estado de alarma,2020-03-22,58
575,estado de alarma,2020-03-29,61
576,estado de alarma,2020-04-05,46
577,estado de alarma,2020-04-12,43
578,estado de alarma,2020-04-19,36
579,estado de alarma,2020-04-26,44
580,estado de alarma,2020-05-03,66
581,estado de alarma,2020-05-10,27
582,estado de alarma,2020-05-17,35
583,estado de alarma,2020-05-24,24
584,comparecencia,2019-01-06,1
585,comparecencia,2019-01-13,1
586,comparecencia,2019-01-20,2
587,comparecencia,2019-01-27,1
588,comparecencia,2019-02-03,1
589,comparecencia,2019-02-10,3
590,comparecencia,2019-02-17,1
591,comparecencia,2019-02-24,1
592,comparecencia,2019-03-03,1
593,comparecencia,2019-03-10,1
594,comparecencia,2019-03-17,1
595,comparecencia,2019-03-24,1
596,comparecencia,2019-03-31,1
597,comparecencia,2019-04-07,1
598,comparecencia,2019-04-14,1
599,comparecencia,2019-04-21,1
600,comparecencia,2019-04-28,3
601,comparecencia,2019-05-05,1
602,comparecencia,2019-05-12,1
603,comparecencia,2019-05-19,1
604,comparecencia,2019-05-26,1
605,comparecencia,2019-06-02,1
606,comparecencia,2019-06-09,1
607,comparecencia,2019-06-16,1
608,comparecencia,2019-06-23,1
609,comparecencia,2019-06-30,1
610,comparecencia,2019-07-07,1
611,comparecencia,2019-07-14,1
612,comparecencia,2019-07-21,1
613,comparecencia,2019-07-28,0
614,comparecencia,2019-08-04,0
615,comparecencia,2019-08-11,0
616,comparecencia,2019-08-18,1
617,comparecencia,2019-08-25,2
618,comparecencia,2019-09-01,0
619,comparecencia,2019-09-08,1
620,comparecencia,2019-09-15,1
621,comparecencia,2019-09-22,1
622,comparecencia,2019-09-29,1
623,comparecencia,2019-10-06,1
624,comparecencia,2019-10-13,3
625,comparecencia,2019-10-20,1
626,comparecencia,2019-10-27,1
627,comparecencia,2019-11-03,1
628,comparecencia,2019-11-10,5
629,comparecencia,2019-11-17,2
630,comparecencia,2019-11-24,1
631,comparecencia,2019-12-01,1
632,comparecencia,2019-12-08,1
633,comparecencia,2019-12-15,1
634,comparecencia,2019-12-22,0
635,comparecencia,2019-12-29,1
636,comparecencia,2020-01-05,1
637,comparecencia,2020-01-12,1
638,comparecencia,2020-01-19,1
639,comparecencia,2020-01-26,1
640,comparecencia,2020-02-02,1
641,comparecencia,2020-02-09,1
642,comparecencia,2020-02-16,1
643,comparecencia,2020-02-23,1
644,comparecencia,2020-03-01,2
645,comparecencia,2020-03-08,100
646,comparecencia,2020-03-15,27
647,comparecencia,2020-03-22,21
648,comparecencia,2020-03-29,16
649,comparecencia,2020-04-05,8
650,comparecencia,2020-04-12,23
651,comparecencia,2020-04-19,14
652,comparecencia,2020-04-26,36
653,comparecencia,2020-05-03,14
654,comparecencia,2020-05-10,7
655,comparecencia,2020-05-17,6
656,comparecencia,2020-05-24,5
657,independentismo,2019-01-06,13
658,independentismo,2019-01-13,9
659,independentismo,2019-01-20,3
660,independentismo,2019-01-27,10
661,independentismo,2019-02-03,9
662,independentismo,2019-02-10,17
663,independentismo,2019-02-17,12
664,independentismo,2019-02-24,8
665,independentismo,2019-03-03,17
666,independentismo,2019-03-10,15
667,independentismo,2019-03-17,16
668,independentismo,2019-03-24,14
669,independentismo,2019-03-31,13
670,independentismo,2019-04-07,11
671,independentismo,2019-04-14,8
672,independentismo,2019-04-21,14
673,independentismo,2019-04-28,20
674,independentismo,2019-05-05,8
675,independentismo,2019-05-12,10
676,independentismo,2019-05-19,10
677,independentismo,2019-05-26,19
678,independentismo,2019-06-02,9
679,independentismo,2019-06-09,6
680,independentismo,2019-06-16,9
681,independentismo,2019-06-23,10
682,independentismo,2019-06-30,12
683,independentismo,2019-07-07,6
684,independentismo,2019-07-14,8
685,independentismo,2019-07-21,10
686,independentismo,2019-07-28,13
687,independentismo,2019-08-04,8
688,independentismo,2019-08-11,9
689,independentismo,2019-08-18,9
690,independentismo,2019-08-25,6
691,independentismo,2019-09-01,6
692,independentismo,2019-09-08,12
693,independentismo,2019-09-15,5
694,independentismo,2019-09-22,12
695,independentismo,2019-09-29,17
696,independentismo,2019-10-06,12
697,independentismo,2019-10-13,100
698,independentismo,2019-10-20,48
699,independentismo,2019-10-27,30
